start_time=11APRIL2002 0000
interval=1day
14ml_sl|FLOW,3mile_sl|FLOW,RSAN032|FLOW,SLMZU032|FLOW,523_0|FLOW,RMID015|FLOW,ROLD024|FLOW,RSAC092|FLOW,RSAC101|FLOW,RSAN007|FLOW,RSAN018|FLOW,045_0|FLOW,RSAN037|FLOW,RSAN058|FLOW,307_13500|FLOW,308_0|FLOW,SLDUT007|FLOW,GEORG_SL|FLOW,SLTRM004|FLOW,309_0|FLOW,347+364+374|FLOW,RSAC054|FLOW,LTL_HOLLAND_WEST|FLOW,LTL_HOLLAND_SOUTH|FLOW,PROSPECT_NORTH|FLOW,PROSPECT_SOUTH|FLOW,CALHOUNCUT|FLOW,IS3-1|FLOW,IS3-2+IS3-3+IS3-4|FLOW,SUISUN5|FLOW,MONTZWET_N+S_BREACHES|FLOW,IS9-1|FLOW,IS9-2|FLOW,IS10-1|FLOW,IS10-2|FLOW,IS10-3|FLOW,IS10-4|FLOW,MCCOR_WILLIAMSON-258|FLOW,MCCOR_WILLIAMSON-256+260|FLOW,DECKER_NW|FLOW,SHAGSLOUGH|FLOW,SNODGRASSSLOUGH|FLOW,47_LEN|FLOW,279_LEN|FLOW,280_LEN|FLOW
1696.22,-94.84,2021.56,200.78,315.36,-934.35,-435.02,6206.22,7002.60,2812.17,4016.03,1512.59,1618.46,2434.58,-6.40,1.41,-73.26,2102.66,-687.48,-704.89,2037.03,9143.73,-89.85,89.98,2092.61,-2077.87,1.99,-23.43,47.80,15.99,-29.63,-85.24,107.73,9.64,179.37,-290.97,181.71,382.38,-385.43,5.55,0.78,-26.34,1018.11,2332.529297,443.0181885
1360.45,-161.27,1858.06,178.66,110.19,-1002.54,-480.97,5440.89,6502.51,2038.38,3397.41,909.52,1401.69,2425.64,-17.10,3.10,-112.92,2126.68,-866.36,-895.71,1888.52,6869.43,-94.84,95.15,2138.92,-2086.76,4.93,-23.14,65.38,25.68,2.43,-83.90,121.08,15.15,198.64,-286.11,200.36,391.77,-342.76,22.29,83.44,45.14,359.78,2210.192627,430.6236877
1798.81,-108.94,1967.56,164.83,343.64,-981.82,-441.30,6245.06,7082.20,2855.33,4084.58,1335.39,1596.30,2396.32,-3.65,0.34,-87.85,2152.30,-781.55,-793.39,1980.50,10281.50,-99.57,99.62,2171.58,-2161.31,0.77,-26.83,38.95,4.98,9.10,-92.50,101.98,11.72,170.28,-361.32,208.64,385.17,-360.37,3.72,35.37,34.94,844.14,2473.856689,457.9633789
2058.63,-82.57,2079.85,110.36,403.11,-1019.82,-478.52,6639.65,7398.83,3302.37,4437.13,1569.52,1671.03,2330.85,3.73,-0.69,-79.21,2156.83,-754.61,-759.55,2082.37,11405.06,-102.68,102.61,2186.14,-2200.17,-1.15,-28.38,28.60,-0.41,-4.51,-94.77,93.26,9.46,148.81,-371.24,210.53,376.45,-387.91,-7.37,-20.34,-9.45,1108.67,2578.239258,473.7506714
1708.85,-129.92,1964.45,81.15,170.09,-946.10,-408.50,5880.77,6855.39,2710.55,3966.04,1185.79,1519.28,2238.51,-7.93,1.46,-101.86,2140.29,-860.90,-880.26,1982.53,8732.24,-104.29,104.42,2188.08,-2168.41,2.09,-26.25,49.90,15.27,1.80,-88.59,108.41,13.67,164.65,-322.80,216.83,377.59,-359.44,9.97,28.58,13.95,666.80,2462.708496,457.5982056
1266.58,-207.04,1772.77,70.42,-83.86,-1012.05,-453.19,4846.85,6103.54,1763.48,3174.68,498.46,1259.28,2217.06,-21.77,3.77,-148.21,2123.70,-1026.18,-1062.12,1809.90,5574.54,-107.17,107.54,2207.06,-2144.72,5.94,-24.23,73.73,30.28,23.40,-83.64,125.31,21.01,186.07,-294.74,234.21,378.49,-311.63,28.85,104.91,67.27,-87.04,2282.662842,436.3528748
1791.09,-121.66,1921.41,85.11,228.88,-879.93,-318.87,5969.18,6856.41,3014.40,4243.68,1299.20,1667.43,2315.87,-4.43,0.51,-98.16,2129.46,-820.74,-834.50,1935.50,9874.09,-109.66,109.71,2221.61,-2207.85,0.94,-28.20,38.81,6.14,23.99,-91.92,99.32,15.39,149.75,-372.26,235.20,365.25,-335.46,6.77,41.00,47.00,784.68,2655.200684,475.7356262
1569.62,-157.16,1888.21,111.91,66.75,-1012.56,-428.78,5504.56,6573.69,2471.31,3761.18,925.00,1483.92,2354.10,-11.96,2.28,-118.89,2124.47,-910.73,-936.21,1911.79,7490.75,-107.57,107.79,2213.45,-2176.43,3.47,-25.89,55.92,21.12,22.31,-84.28,109.82,17.33,158.06,-314.17,234.83,359.06,-325.37,18.52,53.15,34.89,372.86,2509.473633,464.6565552
726.07,-303.51,1597.12,232.35,-335.03,-1313.38,-695.59,3842.95,5573.18,296.99,1846.25,-688.04,731.40,2246.54,-40.43,7.31,-203.42,2155.84,-1315.13,-1375.91,1659.50,784.10,-102.74,103.48,2240.59,-2113.16,11.60,-20.55,103.08,55.10,56.46,-68.16,140.44,27.02,192.70,-209.56,248.94,367.25,-246.30,61.12,197.57,120.49,-1369.51,1980.368164,412.8277588
1430.60,-186.63,1785.31,408.11,179.80,-1258.21,-634.54,5427.48,6730.20,1509.64,2814.90,-76.37,955.75,2110.24,-17.30,2.78,-133.95,2196.51,-1118.18,-1147.21,1817.06,6368.45,-99.54,99.85,2252.24,-2192.49,4.81,-24.82,59.09,21.58,69.67,-76.04,105.29,20.37,147.72,-314.21,248.42,356.37,-272.79,29.91,130.20,114.74,-649.29,2383.988525,452.4173584
2301.70,-33.69,2145.29,489.15,652.95,-1044.11,-458.61,7399.36,8145.01,3281.65,4301.24,1124.30,1380.08,1966.35,8.86,-1.60,-40.97,2231.34,-785.81,-783.38,2141.13,12319.78,-97.25,97.09,2245.39,-2268.02,-2.47,-28.28,16.62,-5.93,32.63,-83.60,73.62,10.91,109.99,-383.68,230.18,332.96,-345.84,-9.50,-26.35,3.89,671.20,2839.01709,498.7290955
2143.39,-67.34,2165.13,536.02,568.75,-1302.10,-707.59,7279.81,8248.11,2488.45,3526.89,518.17,946.16,1771.61,2.90,-0.22,-63.27,2279.64,-937.69,-943.91,2168.53,10430.99,-93.94,93.93,2258.70,-2259.70,-0.28,-26.32,31.07,5.35,17.69,-77.52,83.75,12.83,124.95,-336.44,221.50,331.90,-342.45,-0.94,-11.21,-11.35,49.65,2545.607178,476.071106
2527.82,-5.54,2364.83,577.10,754.44,-1041.08,-497.33,8570.74,9357.48,3398.00,4351.50,1205.01,1177.88,1652.80,10.68,-1.65,-21.72,2392.23,-831.71,-827.05,2357.47,13399.60,-93.65,93.48,2308.72,-2336.96,-2.72,-27.51,16.00,-5.35,0.01,-83.25,75.47,11.08,123.54,-373.65,212.15,325.20,-364.87,-15.61,-61.51,-40.04,763.92,2748.244141,498.4901428
2156.69,-104.95,2377.12,576.00,442.50,-1113.84,-553.22,8494.58,9749.86,2551.49,3716.83,694.97,838.26,1555.00,-6.71,1.74,-84.54,2582.03,-1128.38,-1146.91,2392.90,10545.57,-95.93,96.10,2435.67,-2407.57,2.73,-24.06,49.46,16.79,-4.01,-79.80,105.19,20.42,176.65,-333.14,221.39,338.67,-341.62,7.44,7.76,-25.94,160.39,2451.100586,481.0968018
2867.24,-43.00,2687.35,527.42,830.38,-988.08,-422.46,10683.96,11732.07,4008.08,4994.98,1536.24,1168.98,1553.25,9.62,-2.00,-53.90,2821.24,-1115.00,-1109.48,2682.52,17183.60,-105.50,105.33,2610.52,-2630.94,-2.54,-29.69,8.79,-17.70,-11.24,-96.79,79.74,16.17,153.96,-474.79,233.92,393.80,-405.54,-19.67,-27.11,-13.67,1057.49,2814.067383,530.5031738
4241.94,125.15,3464.90,445.68,1373.64,-770.48,-221.45,14901.72,15497.46,7073.63,7644.55,3491.17,1926.41,1635.22,41.34,-7.43,44.45,3207.71,-937.63,-894.99,3416.92,27451.94,-115.17,114.45,2877.18,-2990.33,-11.30,-36.87,-42.59,-53.69,-61.79,-116.62,45.78,4.46,103.52,-587.97,228.58,469.48,-587.50,-66.09,-195.01,-118.54,3120.57,3525.777832,623.4679565
